16cd29e - MartinaTuri2025, 2026-02-22 : Update pagamento_torneo.php
a76317d - MartinaTuri2025, 2026-02-21 : Update CREATE DB.txt
777b4f3 - Essepelle, 2026-02-20 : Aggiorna wireflow.drawio
00035cd - Essepelle, 2026-02-20 : Aggiorna wireflow.drawio
f5254c2 - vinny-4w, 2026-02-20 : Add flash messages and sticky form for bookings
1479b16 - vinny-4w, 2026-02-20 : Add sticky payment form on validation error
bc71bf7 - vinny-4w, 2026-02-20 : Display payment errors and add validation
4ef59a7 - vinny-4w, 2026-02-19 : Aggiorna wireflow.drawio
4650151 - MartinaTuri2025, 2026-02-19 : Organizzazione immagini
5f0ce84 - Essepelle, 2026-02-19 : Remove legacy 'altro' demo files
9d8d996 - Essepelle, 2026-02-19 : Rename wireframe.drawio to wireflow.drawio
3b44660 - MartinaTuri2025, 2026-02-19 : Create wireframe-The Bowler club.pdf
ba850fc - Essepelle, 2026-02-19 : Organize files into subdirectories and fix paths
ad7cbb8 - vinny-4w, 2026-02-18 : Add sticky form behavior and client validation
a7ec850 - Essepelle, 2026-02-18 : Aggiorna wireframe.drawio
9190434 - Essepelle, 2026-02-18 : Aggiorna wireframe.drawio
e906b98 - Essepelle, 2026-02-17 : Aggiorna wireframe.drawio
9c9e89c - Essepelle, 2026-02-17 : sostituzione immagine form signup
1bf080b - Essepelle, 2026-02-17 : wireframe.drawio aggiunto
8675de5 - Essepelle, 2026-02-17 : Update index.php
21473c6 - Essepelle, 2026-02-17 : Refine carousel/footer layout and form behaviors
8116325 - MartinaTuri2025, 2026-02-16 : Update index.php
f8ec98c - MartinaTuri2025, 2026-02-16 : Update index.php
014d8db - Essepelle, 2026-02-16 : Move distance text and refine map/card styles
265b5b9 - MartinaTuri2025, 2026-02-16 : Update dettaglio_gioco.php
f655841 - MartinaTuri2025, 2026-02-16 : Geolocalizzazione
32c74a7 - MartinaTuri2025, 2026-02-16 : Add main page copy with geolocation map
cfa5710 - MartinaTuri2025, 2026-02-16 : Standardize price format and update UI text
bd9c0ed - vinny-4w, 2026-02-15 : Add payment validation and DB insert flow
c583344 - vinny-4w, 2026-02-15 : Fix payment handling
f6905e7 - Essepelle, 2026-02-14 : Switch media queries to portrait orientation
5129286 - vinny-4w, 2026-02-14 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
362323a - vinny-4w, 2026-02-14 : adattamento Mobile
48d10c2 - MartinaTuri2025, 2026-02-14 : Update prenotazioni.php
07b2be3 - Essepelle, 2026-02-14 : Replace hr gradient with solid color
399744d - MartinaTuri2025, 2026-02-14 : Update CREATE DB.txt
10f15d8 - MartinaTuri2025, 2026-02-14 : Update area_faq.php
f955fdf - MartinaTuri2025, 2026-02-14 : Apply gradient theme; update contact and map
39ae5d0 - Essepelle, 2026-02-13 : Use grid layout and simplify footer
6124f89 - Essepelle, 2026-02-13 : Refactor footer markup and styles
9f885ef - MartinaTuri2025, 2026-02-13 : Create CREATE DB.txt
131015a - MartinaTuri2025, 2026-02-13 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
dd86645 - MartinaTuri2025, 2026-02-13 : Update DB dump and rename game images
1fc32e9 - vinny-4w, 2026-02-13 : Modifica stile pulsanti link
51ea319 - MartinaTuri2025, 2026-02-13 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
14c066f - MartinaTuri2025, 2026-02-13 : Update backup_database.sql
4059c96 - vinny-4w, 2026-02-13 : creazione card info
1dca57f - MartinaTuri2025, 2026-02-13 : Update prenotazioni.php
6d06872 - MartinaTuri2025, 2026-02-13 : Update prenotazioni.css
ebe9964 - MartinaTuri2025, 2026-02-13 : Add prenotazioni carousel and Torneo fixes
4140dbb - Essepelle, 2026-02-13 : Add email format validation and email input type
431ab78 - Essepelle, 2026-02-13 : Redirect to login.php instead of login.html
b671aed - Essepelle, 2026-02-13 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
c7f94c7 - Essepelle, 2026-02-13 : Rename mainpage to index and update references
2767e20 - MartinaTuri2025, 2026-02-13 : Rename card description files, update sidebar
4e2676e - MartinaTuri2025, 2026-02-13 : Update area_faq.php
8713794 - MartinaTuri2025, 2026-02-13 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
a94c1f6 - MartinaTuri2025, 2026-02-13 : Adjust UI colors and homepage layout
46e14d2 - vinny-4w, 2026-02-13 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
263502f - vinny-4w, 2026-02-13 : cambio descrizione
e8b04ff - Essepelle, 2026-02-13 : Add food menu grid and style tweaks
3ccb6c5 - MartinaTuri2025, 2026-02-13 : colore gay
bd7db9a - vinny-4w, 2026-02-13 : Aggiunta script evidenziazione carosello
e1cb12c - MartinaTuri2025, 2026-02-13 : Replace grid layout with horizontal carousel
57b1fe8 - vinny-4w, 2026-02-13 : Update data_prenotazione
171064e - vinny-4w, 2026-02-13 : RImozione script e adattamento calendario
20405dc - Essepelle, 2026-02-13 : Adjust focus styles for payment inputs
70ab504 - MartinaTuri2025, 2026-02-13 : Update area_faq.css
55df469 - MartinaTuri2025, 2026-02-13 : update sidebar-right
5da5c58 - MartinaTuri2025, 2026-02-13 : Refactor layout and booking UI/CSS
05f66ed - MartinaTuri2025, 2026-02-12 : Piccole migliorie necessarie
e0a6f62 - MartinaTuri2025, 2026-02-12 : Improve game detail layout and booking form
ad08a2a - vinny-4w, 2026-02-12 : aggiornamento estetico prenotazioni
f73c008 - Essepelle, 2026-02-12 : Revert "Remove tournament participation and minor UI fixes"
ebe403a - Essepelle, 2026-02-12 : Refactor styles and adjust FAQ content
561216a - MartinaTuri2025, 2026-02-12 : Remove tournament participation and minor UI fixes
7df7290 - vinny-4w, 2026-02-12 : Update sidebar
4a914b5 - MartinaTuri2025, 2026-02-12 : Add styled info panels and increase button font
75286d7 - vinny-4w, 2026-02-12 : ff
9e22377 - vinny-4w, 2026-02-12 : Modifica text area area faq
a931b0b - MartinaTuri2025, 2026-02-12 : Update descr_laser_game.txt
56f2428 - MartinaTuri2025, 2026-02-12 : Update pres_carte.txt
0e09c61 - MartinaTuri2025, 2026-02-12 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
eb4e8f2 - MartinaTuri2025, 2026-02-12 : Add short descriptions and .box-regole styling
c1f4b79 - Essepelle, 2026-02-12 : Add game images and update mainpage styles
3a6a3a9 - vinny-4w, 2026-02-12 : aggiunta e abbellimento dei tasti speciali per la scelta di pista/tavolo/persone
b4eff7c - MartinaTuri2025, 2026-02-12 : Update area_faq.php
9715fcb - MartinaTuri2025, 2026-02-12 : Update database
bfa65f6 - MartinaTuri2025, 2026-02-12 : Update pagamento_torneo.php
4e7acf6 - MartinaTuri2025, 2026-02-12 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
91c6b8e - MartinaTuri2025, 2026-02-12 : Update processo_pagamento.php
34b1fed - Essepelle, 2026-02-12 : Fix CSS & update payment form markup/styles
8f08caa - MartinaTuri2025, 2026-02-12 : sidebar prenotazioni attive
885c081 - MartinaTuri2025, 2026-02-12 : Update area_faq.php
6843056 - MartinaTuri2025, 2026-02-12 : Add 'Solo le più recenti' note to sidebar
1633ebf - MartinaTuri2025, 2026-02-12 : Update dettaglio_gioco.php
da3d9dd - MartinaTuri2025, 2026-02-12 : Reorder hours and disable early past slots
86b369f - MartinaTuri2025, 2026-02-12 : Add payment processing and form validation
7579e2c - MartinaTuri2025, 2026-02-12 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
3f1ab3c - MartinaTuri2025, 2026-02-12 : Add 'Carte' tournament payment flow
622c3e1 - Essepelle, 2026-02-12 : Use H1 for presentation and center/style it
50a1549 - Essepelle, 2026-02-12 : Adjust alignment for alternating .card-gioco items
15a6c99 - Essepelle, 2026-02-12 : Refactor game card layout and PHP markup
d09f7b0 - vinny-4w, 2026-02-11 : Aggiunta logica sull'inserimento di più prenotazioni per lo stesso orario
2ef7fe3 - MartinaTuri2025, 2026-02-11 : ATTENZIONE ALLA DESCRIZIONE
060bcaf - vinny-4w, 2026-02-11 : Descrizioni
e1221a8 - MartinaTuri2025, 2026-02-11 : Create tab_faq.sql
751dd76 - MartinaTuri2025, 2026-02-11 : Update backup_database.sql
d0c3c07 - MartinaTuri2025, 2026-02-11 : Update backup_database.sql
c4dc53f - MartinaTuri2025, 2026-02-11 : Add FAQ styles and expand footer credits
7e5aeaa - MartinaTuri2025, 2026-02-11 : Redirect to login.php and normalize torneo flag
70f7cea - MartinaTuri2025, 2026-02-11 : Update signup-manager.php
b004a73 - Essepelle, 2026-02-11 : Add email uniqueness check to signup
4c70857 - MartinaTuri2025, 2026-02-11 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
46f6043 - MartinaTuri2025, 2026-02-11 : Improve booking UX and conflict handling
80ec431 - Essepelle, 2026-02-11 : Refactor auth UI, add signin manager & client JS
ebc4832 - MartinaTuri2025, 2026-02-11 : Update backup_database.sql
57616e4 - MartinaTuri2025, 2026-02-11 : Refactor FAQ page and add styles
0424a03 - MartinaTuri2025, 2026-02-11 : Update area_faq.php
32ef530 - MartinaTuri2025, 2026-02-11 : Update backup_database.sql
9912fd6 - MartinaTuri2025, 2026-02-11 : Update area_faq.php
91db318 - MartinaTuri2025, 2026-02-11 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
7589e7f - MartinaTuri2025, 2026-02-11 : Add Area Food reviews, UI and assets
3310c43 - vinny-4w, 2026-02-11 : Aggiornamento Database e Prenotazioni
0800247 - MartinaTuri2025, 2026-02-11 : Add in-page food/FAQ section and DB faq table
a3c9266 - MartinaTuri2025, 2026-02-11 : Add Area FAQ page and sidebar account info
ffff865 - vinny-4w, 2026-02-11 : Revert "Update mainpage"
9994523 - vinny-4w, 2026-02-11 : Update mainpage
22d0a7a - Essepelle, 2026-02-11 : Rename login.html to login.php and update links
4b47963 - MartinaTuri2025, 2026-02-11 : Update dettaglio_gioco.php
7532fb0 - MartinaTuri2025, 2026-02-11 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
64f1c49 - MartinaTuri2025, 2026-02-11 : Add account deletion and update booking UI
58d61d0 - vinny-4w, 2026-02-11 : Update mainpage.php
ea00746 - MartinaTuri2025, 2026-02-10 : Update gestisci_prenotazione.php
34b593a - MartinaTuri2025, 2026-02-10 : Show only upcoming bookings; remove expired
a998059 - MartinaTuri2025, 2026-02-10 : Use session username, DB sidebar & add logout
baae48a - vinny-4w, 2026-02-10 : Aggiunta Javascript mainpage
30a3edb - MartinaTuri2025, 2026-02-10 : Sidebar: show upcoming reservations; update handler
63ba505 - MartinaTuri2025, 2026-02-10 : Add booking flow and reservations pages
88bf76b - MartinaTuri2025, 2026-02-10 : Update dettaglio_gioco.php
0322684 - MartinaTuri2025, 2026-02-10 : Add game detail page and dynamic sidebar
898964f - MartinaTuri2025, 2026-02-10 : ordine
7aa53bc - Essepelle, 2026-02-10 : Replace capocchia pages with new main page
4060048 - MartinaTuri2025, 2026-02-10 : Add main page and styles with booking cart
56d702d - MartinaTuri2025, 2026-02-10 : Update mainpage.php
275a1dc - MartinaTuri2025, 2026-02-10 : Update login-manager.php
e7457ea - MartinaTuri2025, 2026-02-10 : Update backup_database.sql
99d955b - MartinaTuri2025, 2026-02-10 : Update backup_database.sql
9c58b64 - MartinaTuri2025, 2026-02-10 : Create backup_database.sql
43ce095 - MartinaTuri2025, 2026-02-10 : ALL DATABASE
9081cf1 - MartinaTuri2025, 2026-02-10 : agg
afedeb4 - MartinaTuri2025, 2026-02-10 : Update capocchia.jpeg
ee5d3fe - Essepelle, 2026-02-10 : Add signup flow and UI style refinements
6488791 - Essepelle, 2026-02-06 : Add mainpage, login backend, styles and assets
a61041c - Essepelle, 2026-01-28 : login che martina odia
691b9ea - Essepelle, 2026-01-28 : Initial commit
